date,real_high,real_low,pred_high,pred_low
2020-11-03,24.49,23.2,23.70530128479004,21.94112205505371
2020-11-04,25.48,23.81,23.366458892822266,21.859766006469727
2020-11-05,27.54,25.6,24.647615432739258,22.488868713378906
2020-11-06,28.8,26.32,25.128772735595703,22.733251571655273
2020-11-09,28.67,26.51,25.388891220092773,22.893205642700195
2020-11-10,28.0,26.27,25.574735641479492,23.01983070373535
2020-11-11,27.09,26.02,25.49775505065918,23.243919372558594
2020-11-12,26.82,26.11,25.37892723083496,23.043926239013672
2020-11-13,26.93,25.79,25.757814407348633,23.18403434753418
2020-11-16,26.15,25.31,25.95418357849121,23.50065803527832
2020-11-17,26.87,25.82,25.86674690246582,23.482820510864258
2020-11-18,25.93,25.26,25.791196823120117,23.483844757080078
2020-11-19,26.35,25.5,25.68259620666504,23.435482025146484
2020-11-20,27.32,26.1,25.69582748413086,23.461631774902344
2020-11-23,27.16,26.43,25.88185691833496,23.62322425842285
2020-11-24,27.46,26.02,26.057106018066406,23.813600540161133
2020-11-25,27.2,26.06,25.82663345336914,23.582605361938477
2020-11-26,25.92,24.73,25.896282196044922,23.68498992919922
2020-11-27,27.45,25.82,25.354598999023438,23.358842849731445
2020-11-30,27.27,26.43,25.80242919921875,23.741727828979492
2020-12-01,26.79,25.42,26.27557373046875,24.205289840698242
2020-12-02,26.32,25.58,26.239770889282227,24.16598892211914
2020-12-03,26.04,25.45,25.82635498046875,23.828723907470703
2020-12-04,25.66,25.02,25.69977378845215,23.728111267089844
2020-12-07,24.74,23.9,25.414165496826172,23.54037857055664
2020-12-08,24.75,24.17,24.95790672302246,23.183853149414062
2020-12-09,24.69,23.66,24.822065353393555,23.063512802124023
2020-12-10,23.85,23.26,24.42938804626465,22.782100677490234
2020-12-11,24.16,23.19,24.186704635620117,22.598745346069336
2020-12-14,24.66,23.21,23.9862117767334,22.456335067749023
,0.0,0.0,24.124759674072266,22.56037139892578
